STATION_ID,READING_DATE,READING_TIME,DEPTH_TO_WATER,WATER_LEVEL,COMMENTS,USER_NAME,STATION_NAME,PALESTINE_NORTH,PALESTINE_EAST,Year,Month,Day
AL1005,13-Jul-74,1200,76.44,517.56,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1974,7,13
AL1005,25-Aug-74,1200,77.37,516.63,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1974,8,25
AL1005,15-Feb-75,1200,74.65,519.35,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1975,2,15
AL1005,16-Apr-75,1200,74.18,519.82,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1975,4,16
AL1005,14-May-75,1200,75.42,518.58,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1975,5,14
AL1005,16-Jun-75,1200,76.63,517.37,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1975,6,16
AL1005,14-Jul-75,1200,77.06,516.94,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1975,7,14
AL1005,18-Aug-75,1200,78.02,515.98,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1975,8,18
AL1005,18-Nov-75,1200,78.04,515.96,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1975,11,18
AL1005,25-Dec-75,1200,76.84,517.16,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1975,12,25
AL1005,22-Jan-76,1200,76.02,517.98,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1976,1,22
AL1005,17-Feb-76,1200,75.59,518.41,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1976,2,17
AL1005,25-Apr-76,1200,74.2,519.8,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1976,4,25
AL1005,18-May-76,1200,75.22,518.78,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1976,5,18
AL1005,18-Jun-76,1200,76.18,517.82,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1976,6,18
AL1005,28-Jul-76,1200,76.13,517.87,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1976,7,28
AL1005,22-Mar-77,1200,75.06,518.94,R,I_ALOKAILY,DP 4 (FAROUQ H.SHLAIF)(PP 144),1174440,276840,1977,3,22
